제목,내용,기자,날짜
수천 개의 깃허브 리포지터리에서 가짜 PoC 유포되고 있어,IT 외신 블리핑컴퓨터에 의하면 깃허브에서 가짜 개념증명용 익스플로잇들이 수천 개 이상 발견됐다고 한다. 다양한 취약점들에 대한 익스플로잇 코드랍시고 개발...,문가용 기자,2022년 10월 24일 12:13
"이모텟, RAR 파일 통해 멀웨어 퍼트리고 있어",보안 외신 해커뉴스에 의하면 악명 높은 멀웨어인 이모텟(Emotet)을 활용한 새로운 캠페인이 시작됐다고 한다. 현재 이모텟의 운영자들은 비밀번호가 걸린 ...,문가용 기자,2022년 10월 24일 12:11
의료 단체의 데이터 분석 도구 통해 300만 정보 유출돼,보안 외신 시큐리티위크에 의하면 비영리 단체인 어드보킷오로라헬스(Advocate Aurora Health)에서 3백만 명의 개인 건강 정보가 구글이나 페이...,문가용 기자,2022년 10월 24일 12:10
"대형 도소매 업자 메트로, 사이버 공격에 당해",거대 유통 업자인 메트로(METRO)가 사이버 공격에 당했다고 보안 블로그 시큐리티어페어즈가 보도했다. 이 때문에 일부 IT 시스템이 마비됐다고 한다. 이...,문가용 기자,2022년 10월 24일 12:09
국내 응답자 46%가 무인매장 선호... 영상감시 및 QR코드 자동출입 시스템 필요성 인식,"엑시스는 소비자 조사 분석 기관인 ‘밀리우 인사이트(Milieu Insight)’에 의뢰해 APAC(아시아·태평양) 내 9개국에서 진행했으며, 우리나라에서...",김영명 기자,2022년 10월 24일 11:55
"알체라, ‘대한민국 AI 역량 강화 프로젝트’ 웨비나 개최",영상인식 AI 기업 알체라(대표 황영규)는 다음 달 3일 ‘대한민국 AI 역량 강화 프로젝트’ 웨비나를 온라인 ZEP 스트리밍으로 오후 4시부터 6시까지 ...,김영명 기자,2022년 10월 24일 11:47
"[ISEC 2022] 파수, 기존 한계 뛰어넘는 도면 보안과 혁신 기술 소개",ISEC 2022 첫째 날인 18일 D트랙에서 파수 윤형동 수석연구원이 ‘기존의 한계를 뛰어넘는 도면 보안 및 협업의 혁신 기술’ 주제로 강연을 진행했다....,김경애 기자,2022년 10월 24일 11:44
"[ISEC 2022] 세일포인트 테크놀로지, Zero Trust 시대의 Identity 보안",ISEC 2022 첫째 날인 18일 D트랙에서 SailPoint Technology Inc 김주헌 상무가 ‘Zero Trust 시대의 Identity 보안...,김경애 기자,2022년 10월 24일 11:24
"[ISEC 2022] 지란지교시큐리티, 모바일 보안 시장의 변화와 대응방안 제시  ",ISEC 2022 첫째 날인 18일 D트랙에서 지란지교시큐리티 모바일보안사업부 김인환 이사가 ‘모바일 보안 시장의 변화와 대응’이란 주제로 강연을 진행했다...,김경애 기자,2022년 10월 24일 11:21
"[ISEC 2022] 이글루코퍼레이션, 슬기로운 SOC 운영 생활 노하우 공개",ISEC 2022 첫째 날인 18일 D트랙에서 이글루코퍼레이션 황범석 기술지원센터장이 ‘슬기로운 SOC 운영 생활-SIEM과 SOAR를 결합하여 SOC 슬...,김경애 기자,2022년 10월 24일 11:15
"[ISEC 2022] 에지오, 제로데이 공격 대응방안 제시 ",ISEC 2022 첫째 날인 18일 C트랙에서 에지오 Richard Yew 보안 솔루션 수석 이사가 ‘보안 공격의 최신 실제 현황과 봇넷 및 제로 데이 어...,김경애 기자,2022년 10월 24일 11:13
"[ISEC 2022] 이에스티씨, 문서화되지 않은 도구 사용하는 표적 공격 그룹 실체는?",ISEC 2022 첫째 날인 18일 C트랙에서 이에스티씨 Andhika Wirawan Head of Strategic Business Development...,김경애 기자,2022년 10월 24일 11:10
